state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NM,enrollmetric,pp_stloc_raw_NM,pp_fed_raw_NM,pp_total_raw_NM,pp_site_stloc_raw_NM,pp_site_fed_raw_NM,pp_site_raw_NM,pp_centshare_stloc_raw_NM,pp_centshare_fed_raw_NM,pp_centshare_raw_NM,schoolstloc_raw_NM,schoolfed_raw_NM,schooltot_raw_NM,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NM,2018-2019,1,1063,Albuquerque,DIGITAL ARTS AND TECHNOLOGY,3500060,3500060,32500100100000.0,350006000853.0,265.0,09-12,4.0,265,First Reporting Period MEM,9365.86,563.33,9929.19,9365.86,563.33,9929.19,0,0,0,2481952.9,149282.45,2631235.35,10326.77334,0,0,0,0,0,0,0
NM,2018-2019,1,1244,Albuquerque,Dolores Gonzales Elementary,3500060,3500060,32500100100000.0,350006000045.0,375.0,PK-05,2.0,376,First Reporting Period MEM,9197.658066,1435.7951995,10633.45326,6694.433378,955.7488564,7650.182234,2503.224688,480.0463431,2983.271031,3458319.432816,539858.995012,3998178.42576,11031.0366,0,0,0,0,0,0,0
NM,2018-2019,1,1350,Albuquerque,Double Eagle Elementary,3500060,3500060,32500100100000.0,350006000752.0,563.0,PK-05,2.0,563,First Reporting Period MEM,6997.065194,287.8224108,7284.887605,5231.611954,137.498508,5369.110462,1765.45324,150.3239028,1915.777143,3939347.70422199,162044.0172804,4101391.721615,7682.47095,0,0,0,0,0,0,0
NM,2018-2019,1,1249,Albuquerque,Duranes Elementary,3500060,3500060,32500100100000.0,350006000047.0,172.0,KG-05,2.0,172,First Reporting Period MEM,11863.861054,1717.8325003,13581.69355,8382.4325,1082.061105,9464.493605,3481.428554,635.7713953,4117.199949,2040584.101288,295467.1900516,2336051.2906,13979.27689,0,0,0,0,0,0,0
NM,2018-2019,1,1593,Albuquerque,Early College Academy,3500060,3500060,32500100100000.0,350006000916.0,193.0,09-12,4.0,193,First Reporting Period MEM,2654.71990123999,195.8702378,2850.590139,95.87937824,0,95.87937824,2558.840523,195.8702378,2754.710761,512360.940939319,37802.9558954,550163.896827,3248.173484,0,0,0,0,0,1,0
NM,2018-2019,1,1024,Albuquerque,EAST MOUNTAIN HIGH SCHOOL,3500060,3500060,32500100100000.0,350006000808.0,364.0,09-12,4.0,364,First Reporting Period MEM,8933.67664835,160.96,9094.636648,8886.58,160.96,9047.54,47.09664835,0,47.09664835,3251858.2999994,58589.44,3310447.73987199,9492.219993,0,0,0,0,0,0,0
NM,2018-2019,1,1252,Albuquerque,East San Jose Elementary,3500060,3500060,32500100100000.0,350006000048.0,417.0,PK-05,2.0,419,First Reporting Period MEM,8714.36578699999,1411.6497177,10126.01551,6333.032458,950.3902387,7283.422697,2381.333329,461.259479,2842.592808,3651319.26475299,591481.2317163,4242800.49869,10523.59885,0,0,0,0,0,0,0
NM,2018-2019,1,1517,Albuquerque,eCademy Virtual High School,3500060,3500060,32500100100000.0,350006001099.0,374.0,09-12,4.0,374,First Reporting Period MEM,9395.641447,239.1276679,9634.769115,7795.257968,97.5481016,7892.80607,1600.383479,141.5795663,1741.963045,3513969.901178,89433.7477946,3603403.64901,10032.35246,0,0,0,0,0,0,0
NM,2018-2019,1,1219,Albuquerque,Edmund G Ross Elementary,3500060,3500060,32500100100000.0,350006000647.0,483.0,KG-05,2.0,483,First Reporting Period MEM,7922.96108,880.2230435,8803.184124,5584.572857,500.8858799,6085.458737,2338.388223,379.3371636,2717.725386,3826790.20164,425147.7300105,4251937.931892,9200.767469,0,0,0,0,0,0,0
NM,2018-2019,1,1262,Albuquerque,Edward Gonzales Elementary,3500060,3500060,32500100100000.0,350006000896.0,543.0,03-05,2.0,543,First Reporting Period MEM,7815.713217,1142.0646311,8957.777848,5495.467017,633.9017127,6129.368729,2320.2462,508.1629184,2828.409118,4243932.276831,620141.0946873,4864073.371464,9355.361193,0,0,0,0,0,0,0
NM,2018-2019,1,1480,Albuquerque,Eisenhower Middle,3500060,3500060,32500100100000.0,350006000049.0,840.0,06-08,3.0,840,First Reporting Period MEM,7530.220153,384.5672926,7914.787446,5315.051321,115.4104405,5430.461762,2215.168832,269.1568521,2484.325684,6325384.92852,323036.525784,6648421.45464,8312.370791,0,0,0,0,0,0,0
