state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_IN,enrollmetric,pp_stloc_raw_IN,pp_fed_raw_IN,pp_total_raw_IN,schoolstloc_raw_IN,schoolfed_raw_IN,schooltot_raw_IN,pp_total_norm_NERDS,pp_instruction_site_raw_IN,pp_otherinstruct_site_raw_IN,pp_instruction_centshare_raw_IN,pp_operations_site_raw_IN,pp_operations_centshare_raw_IN,pp_instruction_raw_IN,pp_noninstruction_raw_IN,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
IN,2018-2019,395,0421,Benton Community School Corp,Otterbein Elementary School,1800480,1800480,15500470100000.0,180048000100.0,315.0,KG-06,2.0,315,October Count Day,8835.71,26.22,8861.93,2783248.65,8259.3,2791507.95,10142.09105,5376.55,0,497.93,928.36,2059.1,5874.48,2987.45,1,0,1,1,0,0,0
IN,2018-2019,395,0446,Benton Community School Corp,Prairie Crossing Elementary School,1800480,1800480,15500470100000.0,180048002403.0,423.0,KG-06,2.0,423,October Count Day,10668.39,412.31,11080.7,4512728.97,174407.13,4687136.1,12360.86105,7412.27,0,497.93,1111.41,2059.1,7910.2,3170.5,1,0,1,1,0,0,0
IN,2018-2019,515,0489,Blackford County Schools,Blackford High School,1800570,1800570,15500570100000.0,180057000102.0,511.0,07-12,4.0,511,October Count Day,9422.28,562.17,9984.45,4814785.08,287268.87,5102053.95,11060.90857,5510.45,0,1667.65,142.27,2664.09,7178.1,2806.35,1,0,1,1,0,0,0
IN,2018-2019,515,0491,Blackford County Schools,Blackford Junior High School,1800570,1800570,15500570100000.0,180057000103.0,,,,239,October Count Day,8649.56,522.73,9172.3,2067244.83999999,124932.47,2192179.69999999,10248.75857,4689,0,1667.65,151.55,2664.09,6356.65,2815.64999999999,1,0,1,1,0,0,0
IN,2018-2019,515,0485,Blackford County Schools,Montpelier School,1800570,1800570,15500570100000.0,180057000107.0,188.0,KG-06,2.0,188,October Count Day,8981.67,1156.52,10138.19,1688553.96,217425.76,1905979.72,11214.64857,5701.18,0,1667.65,105.27,2664.09,7368.83,2769.36,1,0,1,1,0,0,0
IN,2018-2019,515,0494,Blackford County Schools,North Side Elementary School,1800570,1800570,15500570100000.0,180057000108.0,370.0,03-06,2.0,370,October Count Day,7152.14,920.52,8072.66,2646291.8,340592.399999999,2986884.19999999,9149.118569,3717.94,0,1667.65,22.98,2664.09,5385.59,2687.06999999999,1,0,1,1,0,0,0
IN,2018-2019,515,0501,Blackford County Schools,Southside Elementary School,1800570,1800570,15500570100000.0,180057000126.0,278.0,KG-02,2.0,278,October Count Day,7894.52,1194.11,9088.63,2194676.56,331962.579999999,2526639.13999999,10165.08857,4734.25,0,1667.65,22.63,2664.09,6401.9,2686.72999999999,1,0,1,1,0,0,0
IN,2018-2019,2920,2417,Bloomfield School District,Bloomfield Elementary School,1800600,1800600,15502800300000.0,180060000112.0,454.0,PK-06,2.0,454,October Count Day,7932.14,558.01,8490.14,3601191.56,253336.54,3854523.55999999,9549.383365,5908.37,0,119.67,81.18,2380.92,6028.04,2462.09999999999,1,0,1,1,0,0,0
IN,2018-2019,2920,2419,Bloomfield School District,Bloomfield Jr-Sr High School,1800600,1800600,15502800300000.0,180060000113.0,381.0,07-12,4.0,381,October Count Day,8532.83,0,8532.83,3251008.23,0,3251008.23,9592.073365,6031.78,0.45,119.67,0,2380.92,6151.45,2381.38,1,0,1,1,0,0,0
IN,2018-2019,7375,7747,Blue River Career Programs,Blue River Career Ctr,1800009,1800009,15507330100000.0,180000900115.0,0.0,09-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,1,0,1,1,0,1,1
IN,2018-2019,3405,2803,Blue River Valley Schools,Blue River Valley Elementary Sch,1800660,1800660,15503300100000.0,180066000140.0,403.0,PK-06,2.0,403,October Count Day,6126.89,574.7,6701.59,2469136.67,231604.1,2700740.77,7590.762414,4262.74,0,461.57,532.03,1445.24,4724.30999999999,1977.28,1,0,1,1,0,0,0
